Date	Julian Date	Trial	Camera	Arena	Meta_Date	Meta_Julian	Box	Tank	UID
6/2/2013	153	2	7	TR	5/28/2013	148	18A-B	18A	18A-B_2013_5_28
6/2/2013	153	2	8	TR	5/26/2013	146	5A-B	5A	5A-B_2013_5_26
6/2/2013	153	2	9	TR	5/26/2013	146	17A-A	17A	17A-A_2013_5_26
6/3/2013	154	1	1	TR	5/30/2013	150	9-C	9	9-C_2013_5_30
6/3/2013	154	1	2	TR	5/30/2013	150	13-A	13	13-A_2013_5_30
6/3/2013	154	1	3	TR	5/30/2013	150	22	22	22_2013_5_30
6/3/2013	154	1	4	TR	5/30/2013	150	32-B	32	32-B_2013_5_30
6/3/2013	154	1	5	TR	5/30/2013	150	25-A	25	25-A_2013_5_30
6/3/2013	154	1	6	TR	5/30/2013	150	9-E	9	9-E_2013_5_30
6/3/2013	154	1	7	TR	5/30/2013	150	4-B	4	4-B_2013_5_30
6/3/2013	154	1	8	TR	5/30/2013	150	4-C	4	4-C_2013_5_30
6/3/2013	154	1	9	TR	5/30/2013	150	48	48	48_2013_5_30
6/3/2013	154	2	1	TR	6/1/2013	152	12-A	12	12-A_2013_6_1
6/3/2013	154	2	2	TR	5/30/2013	150	9-A	9	9-A_2013_5_30
6/3/2013	154	2	3	TR	5/30/2013	150	39-C	39	39-C_2013_5_30
6/3/2013	154	2	4	TR	5/30/2013	150	4-A	4	4-A_2013_5_30
6/3/2013	154	2	5	TR	6/1/2013	152	35-C	35	35-C_2013_6_1
6/3/2013	154	2	6	TR	6/1/2013	152	35-F	35	35-F_2013_6_1
6/3/2013	154	2	7	TR	6/1/2013	152	32-A	32	32-A_2013_6_1
6/3/2013	154	2	8	TR	6/1/2013	152	16-A	16	16-A_2013_6_1
6/3/2013	154	2	9	TR	6/1/2013	152	34-A	34	34-A_2013_6_1
6/7/2013	158	1	1	TR	6/5/2013	156	7	7	7_2013_6_5
6/7/2013	158	1	2	TR	6/5/2013	156	9-C	9	9-C_2013_6_5
6/7/2013	158	1	3	TR	6/5/2013	156	38-D	38	38-D_2013_6_5
6/7/2013	158	1	4	TR	6/5/2013	156	9-G	9	9-G_2013_6_5
6/7/2013	158	1	5	TR	6/5/2013	156	28	28	28_2013_6_5
6/7/2013	158	1	6	TR	6/5/2013	156	38-F	38	38-F_2013_6_5
6/7/2013	158	1	7	TR	6/5/2013	156	9-A	9	9-A_2013_6_5
6/7/2013	158	1	8	TR	6/5/2013	156	49	49	49_2013_6_5
6/7/2013	158	1	9	TR	6/5/2013	156	39	39	39_2013_6_5
6/10/2013	161	1	1	TR	6/9/2013	160	22-A	22	22-A_2013_6_9
6/10/2013	161	1	2	TR	6/9/2013	160	38-F	38	38-F_2013_6_9
6/10/2013	161	1	3	TR	6/9/2013	160	35-A	35	35-A_2013_6_9
6/10/2013	161	1	4	TR	6/7/2013	158	16-A	16	16-A_2013_6_7
6/10/2013	161	1	5	TR	6/7/2013	158	35-C	35	35-C_2013_6_7
6/10/2013	161	1	6	TR	6/7/2013	158	16	16	16_2013_6_7
6/10/2013	161	1	7	TR	6/7/2013	158	35-A	35	35-A_2013_6_7
6/10/2013	161	1	8	TR	6/7/2013	158	38-A	38	38-A_2013_6_7
6/10/2013	161	1	9	TR	6/7/2013	158	7	7	7_2013_6_7
6/10/2013	161	2	1	TR	6/9/2013	160	46-D	46	46-D_2013_6_9
6/10/2013	161	2	4	TR	6/9/2013	160	49-C	49	49-C_2013_6_9
6/10/2013	161	2	5	TR	6/9/2013	160	46-B	46	46-B_2013_6_9
6/10/2013	161	2	6	TR	6/9/2013	160	16-A	16	16-A_2013_6_9
6/10/2013	161	2	7	TR	6/3/2013	154	35-E	35	35-E_2013_6_3
6/10/2013	161	2	8	TR	6/9/2013	160	16-D	16	16-D_2013_6_9
6/10/2013	161	2	9	TR	6/9/2013	160	46-A	46	46-A_2013_6_9
6/14/2013	165	1	1	TR	6/13/2013	164	13	13	13_2013_6_13
6/14/2013	165	1	2	TR	6/11/2013	162	103-A	103	103-A_2013_6_11
6/14/2013	165	1	4	TR	6/13/2013	164	45	45	45_2013_6_13
6/14/2013	165	1	5	TR	6/13/2013	164	115-B	115	115-B_2013_6_13
6/14/2013	165	1	6	TR	6/13/2013	164	46-B	46	46-B_2013_6_13
6/14/2013	165	1	7	TR	6/13/2013	164	32-A	32	32-A_2013_6_13
6/14/2013	165	1	8	TR	6/13/2013	164	100-B	100	100-B_2013_6_13
6/14/2013	165	1	9	TR	6/13/2013	164	6-C	6	6-C_2013_6_13
6/16/2013	167	1	1	TR	6/15/2013	166	15A-C	15A	15A-C_2013_6_15
6/16/2013	167	1	2	TR	6/15/2013	166	45-E	45	45-E_2013_6_15
6/16/2013	167	1	3	TR	6/15/2013	166	112-A	112	112-A_2013_6_15
6/16/2013	167	1	4	TR	6/15/2013	166	38-B	38	38-B_2013_6_15
6/16/2013	167	1	5	TR	6/15/2013	166	112-B	112	112-B_2013_6_15
6/16/2013	167	1	6	TR	6/15/2013	166	100-C	100	100-C_2013_6_15
6/16/2013	167	1	7	TR	6/15/2013	166	45-D	45	45-D_2013_6_15
6/16/2013	167	1	8	TR	6/15/2013	166	13A	13A	13A_2013_6_15
6/16/2013	167	1	9	TR	6/15/2013	166	108	108	108_2013_6_15
6/18/2013	169	1	1	TR	6/17/2013	168	112-C	112	112-C_2013_6_17
6/18/2013	169	1	2	TR	6/17/2013	168	112-B	112	112-B_2013_6_17
6/18/2013	169	1	3	TR	6/17/2013	168	111-B	111	111-B_2013_6_17
6/18/2013	169	1	4	TR	6/17/2013	168	45-A	45	45-A_2013_6_17
6/18/2013	169	1	5	TR	6/15/2013	166	45-B	45	45-B_2013_6_15
6/18/2013	169	1	6	TR	6/17/2013	168	4	4	4_2013_6_17
6/18/2013	169	1	7	TR	6/15/2013	166	20A-A	20A	20A-A_2013_6_15
6/18/2013	169	1	8	TR	6/15/2013	166	116	116	116_2013_6_15
6/18/2013	169	1	9	TR	6/17/2013	168	115-A	115	115-A_2013_6_17
6/22/2013	173	1	1	TR	6/21/2013	172	112-A	112	112-A_2013_6_21
6/22/2013	173	1	2	TR	6/21/2013	172	35-D	35	35-D_2013_6_21
6/22/2013	173	1	3	TR	6/21/2013	172	46-B	46	46-B_2013_6_21
6/22/2013	173	1	4	TR	6/21/2013	172	110	110	110_2013_6_21
6/22/2013	173	1	5	TR	6/21/2013	172	13	13	13_2013_6_21
6/22/2013	173	1	6	TR	6/19/2013	170	109	109	109_2013_6_19
6/22/2013	173	1	7	TR	6/21/2013	172	6-B	6	6-B_2013_6_21
6/22/2013	173	1	8	TR	6/21/2013	172	32	32	32_2013_6_21
6/22/2013	173	1	9	TR	6/19/2013	170	112-B	112	112-B_2013_6_19
6/24/2013	175	1	1	TR	6/23/2013	174	32-B	32	32-B_2013_6_23
6/24/2013	175	1	2	TR	6/23/2013	174	109-B	109	109-B_2013_6_23
6/24/2013	175	1	3	TR	6/23/2013	174	100-C	100	100-C_2013_6_23
6/24/2013	175	1	4	TR	6/23/2013	174	13	13	13_2013_6_23
6/24/2013	175	1	5	TR	6/23/2013	174	10A-B	10A	10A-B_2013_6_23
6/24/2013	175	1	6	TR	6/23/2013	174	103-C	103	103-C_2013_6_23
6/24/2013	175	1	7	TR	6/23/2013	174	9A-A	9A	9A-A_2013_6_23
6/24/2013	175	1	8	TR	6/23/2013	174	109-A	109	109-A_2013_6_23
6/24/2013	175	1	9	TR	6/23/2013	174	112-A	112	112-A_2013_6_23
6/24/2013	175	2	1	TR	6/23/2013	174	108-C	108	108-C_2013_6_23
6/24/2013	175	2	2	TR	6/23/2013	174	46-C	46	46-C_2013_6_23
6/24/2013	175	2	3	TR	6/23/2013	174	10A-C	10A	10A-C_2013_6_23
6/24/2013	175	2	5	TR	6/23/2013	174	4A	4A	4A_2013_6_23
6/24/2013	175	2	6	TR	6/23/2013	174	106-A	106	106-A_2013_6_23
6/24/2013	175	2	7	TR	6/23/2013	174	12A-B	12A	12A-B_2013_6_23
6/24/2013	175	2	8	TR	6/23/2013	174	10A-A	10A	10A-A_2013_6_23
6/24/2013	175	2	9	TR	6/23/2013	174	16-B	16	16-B_2013_6_23
6/28/2013	179	1	1	TR	6/25/2013	176	117-B	117	117-B_2013_6_25
6/28/2013	179	1	2	TR	6/25/2013	176	102	102	102_2013_6_25
6/28/2013	179	1	3	TR	6/27/2013	178	112-B	112	112-B_2013_6_27
6/28/2013	179	1	4	TR	6/25/2013	176	12A-A	12A	12A-A_2013_6_25
6/28/2013	179	1	5	TR	6/25/2013	176	9A-A	9A	9A-A_2013_6_25
6/28/2013	179	1	6	TR	6/27/2013	178	107-B	107	107-B_2013_6_27
6/28/2013	179	1	7	TR	6/25/2013	176	101-B	101	101-B_2013_6_25
6/28/2013	179	1	8	TR	6/25/2013	176	101-A	101	101-A_2013_6_25
6/28/2013	179	1	9	TR	6/27/2013	178	9A	9A	9A_2013_6_27
6/30/2013	181	1	1	TR	6/29/2013	180	103-B	103	103-B_2013_6_29
6/30/2013	181	1	2	TR	6/29/2013	180	46-B	46	46-B_2013_6_29
6/30/2013	181	1	3	TR	6/29/2013	180	4-A	4	4-A_2013_6_29
6/30/2013	181	1	4	TR	6/29/2013	180	100-A	100	100-A_2013_6_29
6/30/2013	181	1	5	TR	6/29/2013	180	102-A	102	102-A_2013_6_29
6/30/2013	181	1	6	TR	6/24/2013	175	100-B	100	100-B_2013_6_24
