ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
13,6/11/2013,6/29/2013,22:39,3.503,4.576,4.011,4.356,2.776,4.123,3.176,3.967,10.855,6.954,18.602,6.551,24.872,4.18,1
13,6/13/2013,6/30/2013,09:56,3.31,3.191,3.98,4.159,2.454,4.453,2.473,4.987,11.56,6.962,18.93,6.853,27.489,4.492,1
13,6/17/2013,6/30/2013,09:09,3.449,4.817,3.604,3.814,2.592,4.437,2.459,4.305,12.667,7.877,19.299,7.431,28.919,4.71,1
13,6/19/2013,6/30/2013,00:23,3.899,3.985,3.779,4.366,2.775,4.717,2.724,4.621,12.381,7.638,19.407,7.269,29.434,4.544,1
13,6/21/2013,6/30/2013,09:51,3.146,3.712,3.163,3.539,2.483,4.41,2.494,4.366,10.56,6.959,18.531,6.57,28.187,4.687,1
13A,6/11/2013,6/29/2013,20:20,3.66,4.064,3.953,4.576,3.032,4.2,2.441,4.867,11.574,7.195,17.306,6.53,25.962,3.834,1
13A,6/13/2013,6/30/2013,00:29,3.35,3.398,3.406,3.961,2.925,3.666,2.729,3.41,11.443,7.223,19.329,7.023,27.364,4.817,1
13A,6/15/2013,6/30/2013,08:40,3.217,4.554,3.509,3.748,2.661,4.95,2.285,3.862,11.152,6.876,18.239,6.266,24.528,4.303,1
13A,6/17/2013,6/30/2013,00:48,4,3.951,3.641,3.992,2.895,4.771,2.862,3.851,12.21,7.324,19.782,6.969,27.674,4.671,1
15A,6/13/2013,6/30/2013,00:26,3.744,4.052,3.781,4.378,2.502,4.49,2.718,3.837,10.922,6.489,18.404,5.804,24.475,4.199,1
15A,6/19/2013,6/30/2013,08:25,3.44,4.478,3.778,4.4,2.4,3.892,2.479,3.512,11.065,7.335,18.069,7.046,28.924,4.523,1
16A,6/9/2013,6/29/2013,21:50,3.847,4.049,3.537,4.506,2.492,4.819,2.963,4.111,11.474,6.815,17.938,7.087,27.88,4.333,1
16B,6/9/2013,6/29/2013,21:01,3.646,4.272,4.149,3.799,2.865,4.487,2.396,3.381,12.185,7.521,19.493,6.781,27.671,4.646,1
16C,6/9/2013,6/29/2013,20:59,3.856,4.215,4.641,4.238,2.646,4.985,3.023,4.458,12.208,7.301,20.08,7.374,26.613,4.53,1
16D ,6/9/2013,6/29/2013,21:09,3.291,4.323,3.748,4.836,2.383,4.724,2.583,5.088,12.1,7.087,19.933,7.208,26.802,5.099,1
17A,6/15/2013,6/29/2013,23:43,4.001,4.144,4.085,4.705,2.66,4.943,2.202,5.148,12.054,7.887,20.868,8.628,26.595,5.689,1
19A,6/15/2013,6/30/2013,00:52,3.726,4.003,3.682,4.304,2.944,4.923,2.878,4.78,11.651,7.322,21.087,7.156,28.265,4.722,1
19B,6/9/2013,6/30/2013,00:18,4.529,4.321,4.593,4.394,3.696,4.494,3.03,5.364,12.919,7.519,22.347,7.59,36.14,5.456,1
19C,6/15/2013,6/30/2013,00:56,3.939,3.873,4.075,4.017,2.866,4.96,2.814,4.247,12.102,7.08,20.152,6.658,30.189,4.419,1
20AA,6/15/2013,6/29/2013,23:25,3.696,4.535,3.273,4.209,3.174,5.227,2.462,5.167,11.492,7.533,21.803,7.246,29.272,4.795,1
20AB,6/15/2013,6/30/2013,09:20,4.406,4.482,4.183,4.857,2.616,5.747,3.484,4.711,12.954,7.798,21.607,7.608,33.353,5.233,1
25A,6/9/2013,6/29/2013,21:57,3.892,4.609,4.032,4.825,2.321,5.047,3.505,3.878,13.303,7.888,23.571,8.7,32.585,5.469,1
28A,6/9/2013,6/29/2013,21:54,3.183,5.093,4.319,4.874,2.888,6.154,2.863,5.136,13.563,7.856,22.986,8.473,37.797,5.402,1
32,6/21/2013,6/30/2013,09:41,3.911,3.58,3.772,3.486,2.671,4.593,2.5,4.366,11.264,7.128,18.757,5.819,25.745,4.159,1
